Date,Description,Category,Money In,Money Out,Fee*,Balance
26/02/2025,Capfuneral,Funeral Cover,2025.0,29.7,,-29.7
01/03/2025,Tfgaccount,Uncategorised,2025.0,30.1,,-30.1
26/03/2025,Capfuneral,Funeral Cover,2025.0,30.5,,-30.5
22/01/2025,Stash By Liberty,Savings,2025.0,20.9,,-20.9
23/01/2025,Stash By Liberty,Savings,2025.0,20.6,,-20.6
25/01/2025,Stash By Liberty,Savings,2025.0,36.5,,-36.5
27/01/2025,Stash By Liberty,Savings,2025.0,36.9,,-36.9
29/01/2025,Stash By Liberty,Savings,2025.0,37.3,,-37.3
31/01/2025,Stash By Liberty,Savings,2025.0,32.7,,-32.7
02/02/2025,Stash By Liberty,Savings,2025.0,38.1,,-38.1
03/02/2025,Stash By Liberty,Savings,2025.0,100.0,,-100.0
05/02/2025,Stash By Liberty,Savings,2025.0,33.5,,-33.5
06/02/2025,Stash By Liberty,Savings,2025.0,33.9,,-33.9
09/02/2025,Stash By Liberty,Savings,2025.0,24.3,,-24.3
10/02/2025,Stash By Liberty,Savings,2025.0,34.7,,-34.7
12/02/2025,Stash By Liberty,Savings,2025.0,22.5,,-22.5
13/02/2025,Stash By Liberty,Savings,2025.0,35.3,,-35.3
15/02/2025,Stash By Liberty,Savings,2025.0,35.7,,-35.7
17/02/2025,Stash By Liberty,Savings,2025.0,36.1,,-36.1
19/02/2025,Stash By Liberty,Savings,2025.0,36.5,,-36.5
21/02/2025,Stash By Liberty,Savings,2025.0,36.9,,-36.9
23/02/2025,Stash By Liberty,Savings,2025.0,37.3,,-37.3
26/02/2025,Stash By Liberty,Savings,2025.0,37.7,,-37.7
27/02/2025,Stash By Liberty,Savings,2025.0,38.1,,-38.1
01/03/2025,Stash By Liberty,Savings,2025.0,100.0,,-100.0
01/03/2025,Stash By Liberty,Savings,2025.0,38.5,,-38.5
03/03/2025,Stash By Liberty,Savings,2025.0,38.9,,-38.9
05/03/2025,Stash By Liberty,Savings,2025.0,39.3,,-39.3
07/03/2025,Stash By Liberty,Savings,2025.0,39.7,,-39.7
08/03/2025,Stash By Liberty,Savings,2025.0,20.0,,-20.0
09/03/2025,Stash By Liberty,Savings,2025.0,20.1,,-20.1
10/03/2025,Stash By Liberty,Savings,2025.0,20.2,,-20.2
12/03/2025,Stash By Liberty,Savings,2025.0,20.4,,-20.4
13/03/2025,Stash By Liberty,Savings,2025.0,20.3,,-20.3
14/03/2025,15/03/2025,Uncategorised,15.0,,,
14/03/2025,16/03/2025,Uncategorised,16.0,,,
14/03/2025,17/03/2025,Uncategorised,17.0,,,
14/03/2025,19/03/2025,Uncategorised,19.0,,,
14/03/2025,20/03/2025,Uncategorised,20.0,,,
14/03/2025,21/03/2025,Uncategorised,21.0,,,
14/03/2025,22/03/2025,Uncategorised,22.0,,,
14/03/2025,24/03/2025,Uncategorised,24.0,,,
14/03/2025,26/03/2025,Uncategorised,26.0,,,
14/03/2025,27/03/2025,Uncategorised,27.0,,,
14/03/2025,28/03/2025,Uncategorised,28.0,,,
14/03/2025,30/03/2025,Uncategorised,30.0,,,
14/03/2025,31/03/2025,Uncategorised,31.0,,,
15/03/2025,Stash By Liberty,Savings,2025.0,20.7,,-20.7
15/03/2025,Stash By Liberty,Savings,2025.0,20.5,,-20.5
16/03/2025,Stash By Liberty,Savings,2025.0,20.8,,-20.8
17/03/2025,Stash By Liberty,Savings,2025.0,20.9,,-20.9
19/03/2025,Stash By Liberty,Savings,2025.0,21.0,,-21.0
19/03/2025,Stash By Liberty,Savings,2025.0,21.1,,-21.1
20/03/2025,Stash By Liberty,Savings,2025.0,21.2,,-21.2
21/03/2025,Stash By Liberty,Savings,2025.0,21.3,,-21.3
